Date,Hour,MCP (Rs/MWh)
06-09-2023,11,4438.24
06-09-2023,11,4448
06-09-2023,12,4437.47
06-09-2023,12,4440.58
06-09-2023,12,4422.11
06-09-2023,12,4436.67
06-09-2023,13,4390.39
06-09-2023,13,4381.95
06-09-2023,13,4356.76
06-09-2023,13,4250.42
06-09-2023,14,4246.01
06-09-2023,14,4356.84
06-09-2023,14,4392.66
06-09-2023,14,4464.45
06-09-2023,15,4662.94
06-09-2023,15,5000.21
06-09-2023,15,5689.25
06-09-2023,15,6557.03
06-09-2023,16,7000.64
06-09-2023,16,7283.63
06-09-2023,16,7510.15
06-09-2023,16,7510.72
06-09-2023,17,7000.7
06-09-2023,17,7000.69
06-09-2023,17,7000.57
06-09-2023,17,7000.89
06-09-2023,18,7000.83
06-09-2023,18,8180.8
06-09-2023,18,8499.61
06-09-2023,18,9214.31
06-09-2023,19,10000
06-09-2023,19,10000
06-09-2023,19,10000
06-09-2023,19,10000
06-09-2023,20,10000
06-09-2023,20,10000
06-09-2023,20,10000
06-09-2023,20,10000
06-09-2023,21,10000
06-09-2023,21,10000
06-09-2023,21,10000
06-09-2023,21,10000
06-09-2023,22,10000
06-09-2023,22,10000
06-09-2023,22,10000
06-09-2023,22,10000
06-09-2023,23,10000
06-09-2023,23,10000
06-09-2023,23,10000
06-09-2023,23,10000
06-09-2023,24,10000
06-09-2023,24,10000
06-09-2023,24,10000
06-09-2023,24,10000
07-09-2023,1,10000
07-09-2023,1,10000
07-09-2023,1,10000
07-09-2023,1,10000
07-09-2023,2,10000
07-09-2023,2,10000
07-09-2023,2,10000
07-09-2023,2,7242.35
07-09-2023,3,7000.45
07-09-2023,3,6250.81
07-09-2023,3,6009.51
07-09-2023,3,5679.17
07-09-2023,4,6250.9
07-09-2023,4,5640.28
07-09-2023,4,5431.63
07-09-2023,4,5347.48
07-09-2023,5,5399.17
07-09-2023,5,5348.39
07-09-2023,5,5728.7
07-09-2023,5,5999.2
07-09-2023,6,5399.52
07-09-2023,6,6510.09
07-09-2023,6,7000.12
07-09-2023,6,7000.68
07-09-2023,7,7321.23
07-09-2023,7,10000
07-09-2023,7,9301.68
07-09-2023,7,7827.5
07-09-2023,8,7500.5
07-09-2023,8,7000.9
07-09-2023,8,7000.46
07-09-2023,8,6009.32
07-09-2023,9,5149
07-09-2023,9,4981.4
07-09-2023,9,4530.7
07-09-2023,9,4245.15
07-09-2023,10,3800.53
07-09-2023,10,3800.94
07-09-2023,10,3800.83
07-09-2023,10,3630.75
07-09-2023,11,3338.44
07-09-2023,11,3300.88
07-09-2023,11,3300.34
07-09-2023,11,3281.92
07-09-2023,12,3338.37
07-09-2023,12,3338.56
07-09-2023,12,3338.61
07-09-2023,12,3338.64
07-09-2023,13,3338.43
07-09-2023,13,3338.15
07-09-2023,13,3338.1
07-09-2023,13,3338.22
07-09-2023,14,3300.12
07-09-2023,14,3315.97
07-09-2023,14,3380.39
07-09-2023,14,3630.35
07-09-2023,15,3630.68
07-09-2023,15,4112.76
07-09-2023,15,4562.22
07-09-2023,15,5399.91
07-09-2023,16,5612.99
07-09-2023,16,5950.46
07-09-2023,16,5612.3
07-09-2023,16,5600.38
07-09-2023,17,5320.66
07-09-2023,17,5399.22
07-09-2023,17,5689.91
07-09-2023,17,5990.28
07-09-2023,18,5689.96
07-09-2023,18,6009.58
07-09-2023,18,6000.38
07-09-2023,18,6000.32
07-09-2023,19,8063.32
07-09-2023,19,8013.1
07-09-2023,19,10000
07-09-2023,19,10000
07-09-2023,20,10000
07-09-2023,20,10000
07-09-2023,20,10000
07-09-2023,20,10000
07-09-2023,21,10000
07-09-2023,21,10000
07-09-2023,21,10000
07-09-2023,21,10000
07-09-2023,22,10000
07-09-2023,22,10000
07-09-2023,22,10000
07-09-2023,22,10000
07-09-2023,23,10000
07-09-2023,23,10000
07-09-2023,23,10000
07-09-2023,23,10000
07-09-2023,24,10000
07-09-2023,24,10000
